Player,Position,Fee
Gabriel Jesus,Centre-Forward,€52.20m
Oleksandr Zinchenko,Left-Back,€35.00m
Fábio Vieira,Attacking Midfield,€35.00m
Leandro Trossard,Left Winger,€24.00m
Jakub Kiwior,Centre-Back,€19.50m
Jorginho,Defensive Midfield,€11.30m
Matt Turner,Goalkeeper,€5.90m
Marquinhos,Right Winger,€3.50m
Folarin Balogun,Centre-Forward,-
Karl Hein,Goalkeeper,-
William Saliba,Centre-Back,"End of loanJun 30, 2022"
Mattéo Guendouzi,Central Midfield,"End of loanJun 30, 2022"
Héctor Bellerín,Right-Back,"End of loanJun 30, 2022"
Lucas Torreira,Defensive Midfield,"End of loanJun 30, 2022"
Konstantinos Mavropanos,Centre-Back,"End of loanJun 30, 2022"
Albert Sambi Lokonga,Central Midfield,"End of loanMay 31, 2023"
Marquinhos,Right Winger,"End of loanMay 31, 2023"
Ainsley Maitland-Niles,Right-Back,"End of loanJun 30, 2022"
Auston Trusty,Centre-Back,"End of loanMay 31, 2023"
Ainsley Maitland-Niles,Right-Back,"End of loanMay 31, 2023"
Reiss Nelson,Right Winger,"End of loanJun 30, 2022"
Pablo Marí,Centre-Back,"End of loanJun 30, 2022"
Auston Trusty,Centre-Back,"End of loanJul 14, 2022"
Arthur Okonkwo,Goalkeeper,"End of loanJan 15, 2023"
Rúnar Alex Rúnarsson,Goalkeeper,"End of loanJun 30, 2022"
