,Player,Age,Nat.,Left,Fee,,,,,,
Sum: €186.40m,Sum: €186.40m,Sum: €186.40m,Sum: €186.40m,Sum: €186.40m,Sum: €186.40m,NA,NA,NA,NA,NA,NA
Average age: 23.9,Average age: 23.9,Average age: 23.9,Average age: 23.9,Average age: 23.9,Average age: 23.9,NA,NA,NA,NA,NA,NA
Total market value of arrivals: €370.00m,Total market value of arrivals: €370.00m,Total market value of arrivals: €370.00m,Total market value of arrivals: €370.00m,Total market value of arrivals: €370.00m,Total market value of arrivals: €370.00m,NA,NA,NA,NA,NA,NA
,"Gabriel Jesus                            
        Centre-Forward",,Gabriel Jesus,Centre-Forward,25,NA,"Man City        
    
            Premier League",NA,Man City,Premier League,€52.20m
,Gabriel Jesus,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Man City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Oleksandr Zinchenko                            
        Left-Back",,Oleksandr Zinchenko,Left-Back,25,NA,"Man City        
    
            Premier League",NA,Man City,Premier League,€35.00m
,Oleksandr Zinchenko,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Left-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Man City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Fábio Vieira                            
        Attacking Midfield",,Fábio Vieira,Attacking Midfield,22,NA,"FC Porto        
    
            Liga Portugal",NA,FC Porto,Liga Portugal,€35.00m
,Fábio Vieira,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Attacking Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,FC Porto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Liga Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Leandro Trossard                            
        Left Winger",,Leandro Trossard,Left Winger,28,NA,"Brighton        
    
            Premier League",NA,Brighton,Premier League,€24.00m
,Leandro Trossard,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Left Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Brighton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Jakub Kiwior                            
        Centre-Back",,Jakub Kiwior,Centre-Back,22,NA,"Spezia Calcio        
    
            Serie A",NA,Spezia Calcio,Serie A,€19.50m
,Jakub Kiwior,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Spezia Calcio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Serie A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Jorginho                            
        Defensive Midfield",,Jorginho,Defensive Midfield,31,NA,"Chelsea        
    
            Premier League",NA,Chelsea,Premier League,€11.30m
,Jorginho,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Defensive Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Chelsea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Matt Turner                            
        Goalkeeper",,Matt Turner,Goalkeeper,28,NA,"New England        
    
            MLS",NA,New England,MLS,€5.90m
,Matt Turner,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
