"Season","Age","Squad","Country","Comp","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","Matches"
"2020-2021","23","Manchester City","eng ENG","1. Premier League","29","2,063","9","4","6","507","3","0","7","270","2","0","42","2,840","14","4","Matches"
"2021-2022","24","Manchester City","eng ENG","1. Premier League","28","1,877","8","8","5","369","1","2","8","355","4","1","41","2,601","13","11","Matches"
"2022-2023","25","Arsenal","eng ENG","1. Premier League","26","2,064","11","6","1","19","0","0","6","254","0","1","33","2,337","11","7","Matches"
"2023-2024","26","Arsenal","eng ENG","1. Premier League","27","1,478","4","5","1","23","0","0","8","406","4","3","36","1,907","8","8","Matches"
"2024-2025","27","Arsenal","eng ENG","1. Premier League","17","608","3","0","5","341","4","1","5","258","0","1","27","1,207","7","2","Matches"
"11 Seasons*","11 Seasons*","3 Clubs","","","276","17,094","92","49","46","3,236","21","9","62","3,467","28","9","384","23,797","141","67",""
