,Player,Age,Nat.,Left,Fee,,,,,,
Sum: €113.00m,Sum: €113.00m,Sum: €113.00m,Sum: €113.00m,Sum: €113.00m,Sum: €113.00m,NA,NA,NA,NA,NA,NA
Average age: 23.1,Average age: 23.1,Average age: 23.1,Average age: 23.1,Average age: 23.1,Average age: 23.1,NA,NA,NA,NA,NA,NA
Total market value of arrivals: €110.95m,Total market value of arrivals: €110.95m,Total market value of arrivals: €110.95m,Total market value of arrivals: €110.95m,Total market value of arrivals: €110.95m,Total market value of arrivals: €110.95m,NA,NA,NA,NA,NA,NA
,"Granit Xhaka                            
        Defensive Midfield",,Granit Xhaka,Defensive Midfield,23,NA,"Bor. M'gladbach        
    
            Bundesliga",NA,Bor. M'gladbach,Bundesliga,€45.00m
,Granit Xhaka,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Defensive Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bor. M'gladbach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bundesliga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Shkodran Mustafi                            
        Centre-Back",,Shkodran Mustafi,Centre-Back,24,NA,"Valencia        
    
            LaLiga",NA,Valencia,LaLiga,€41.00m
,Shkodran Mustafi,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Valencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Lucas Pérez                            
        Centre-Forward",,Lucas Pérez,Centre-Forward,27,NA,"Dep. La Coruña        
    
            LaLiga",NA,Dep. La Coruña,LaLiga,€20.00m
,Lucas Pérez,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Dep. La Coruña,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Takuma Asano                            
        Right Winger",,Takuma Asano,Right Winger,21,NA,"Sanf. Hiroshima        
    
            J1 - 1st Stage",NA,Sanf. Hiroshima,J1 - 1st Stage,€4.00m
,Takuma Asano,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Sanf. Hiroshima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,J1 - 1st Stage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Rob Holding                            
        Centre-Back",,Rob Holding,Centre-Back,20,NA,"Bolton        
    
            League One",NA,Bolton,League One,€3.00m
,Rob Holding,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bolton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,League One,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Jack Wilshere                            
        Central Midfield",,Jack Wilshere,Central Midfield,25,NA,"Bournemouth        
    
            Premier League",NA,Bournemouth,Premier League,"End of loanMay 31, 2017"
,Jack Wilshere,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Central Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bournemouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Calum Chambers                            
        Centre-Back",,Calum Chambers,Centre-Back,22,NA,"Middlesbrough        
    
            Premier League",NA,Middlesbrough,Premier League,"End of loanMay 31, 2017"
,Calum Chambers,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Middlesbrough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Mathieu Debuchy                            
        Right-Back",,Mathieu Debuchy,Right-Back,30,NA,"G. Bordeaux        
    
            Ligue 1",NA,G. Bordeaux,Ligue 1,"End of loanJun 30, 2016"
,Mathieu Debuchy,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,G. Bordeaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ligue 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Krystian Bielik                            
        Centre-Back",,Krystian Bielik,Centre-Back,19,NA,"Birmingham        
    
            Championship",NA,Birmingham,Championship,"End of loanMay 31, 2017"
,Krystian Bielik,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Birmingham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Championship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Chuba Akpom                            
        Centre-Forward",,Chuba Akpom,Centre-Forward,21,NA,"Brighton        
    
            Championship",NA,Brighton,Championship,"End of loanMay 31, 2017"
,Chuba Akpom,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Brighton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Championship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
