Player,Position,Fee
Granit Xhaka,Defensive Midfield,€45.00m
Shkodran Mustafi,Centre-Back,€41.00m
Lucas Pérez,Centre-Forward,€20.00m
Takuma Asano,Right Winger,€4.00m
Rob Holding,Centre-Back,€3.00m
Jack Wilshere,Central Midfield,"End of loanMay 31, 2017"
Calum Chambers,Centre-Back,"End of loanMay 31, 2017"
Mathieu Debuchy,Right-Back,"End of loanJun 30, 2016"
Krystian Bielik,Centre-Back,"End of loanMay 31, 2017"
Chuba Akpom,Centre-Forward,"End of loanMay 31, 2017"
Matt Macey,Goalkeeper,"End of loanApr 5, 2017"
