"Season","Age","Squad","Country","Comp","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","Matches"
"2014-2015","21","Gladbach","de GER","1. Bundesliga","30","2,637","2","1","3","296","0","1","7","589","2","1","40","3,522","4","3","Matches"
"2015-2016","22","Gladbach","de GER","1. Bundesliga","28","2,364","3","1","3","266","0","0","5","450","0","1","36","3,080","3","2","Matches"
"2016-2017","23","Arsenal","eng ENG","1. Premier League","32","2,485","2","2","7","588","1","1","7","479","1","0","46","3,552","4","3","Matches"
"2017-2018","24","Arsenal","eng ENG","1. Premier League","38","3,260","1","7","4","390","1","1","6","494","1","0","48","4,144","3","8","Matches"
"2018-2019","25","Arsenal","eng ENG","1. Premier League","29","2,498","4","2","2","180","0","0","9","758","0","3","40","3,436","4","5","Matches"
"15 Seasons*","15 Seasons*","4 Clubs","","","427","34,254","30","35","45","3,515","3","3","91","7,104","6","7","563","44,873","39","45",""
