"Season","Age","Squad","Country","Comp","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","Matches"
"2018-2019","25","Atlético Madrid","es ESP","1. La Liga","32","2,070","3","4","3","212","0","0","7","446","0","2","42","2,728","3","6","Matches"
"2019-2020","26","Atlético Madrid","es ESP","1. La Liga","35","2,549","3","0","3","286","0","0","8","735","1","1","46","3,570","4","1","Matches"
"2020-2021","27","Atlético Madrid","es ESP","1. La Liga","3","200","0","0","","","","","","","","","3","200","0","0","Matches"
"2020-2021","27","Arsenal","eng ENG","1. Premier League","24","1,534","0","2","1","33","0","0","8","540","0","1","33","2,107","0","3","Matches"
"2021-2022","28","Arsenal","eng ENG","1. Premier League","24","2,028","2","1","2","75","0","0","","","","","26","2,103","2","1","Matches"
"2022-2023","29","Arsenal","eng ENG","1. Premier League","33","2,483","3","0","1","45","0","0","6","170","0","0","40","2,698","3","0","Matches"
"12 Seasons*","12 Seasons*","4 Clubs","","","314","21,928","28","14","26","1,701","2","0","61","3,514","2","4","401","27,143","32","18",""
