,Player,Age,Nat.,Left,Fee,,,,,,
Sum: €86.00m,Sum: €86.00m,Sum: €86.00m,Sum: €86.00m,Sum: €86.00m,Sum: €86.00m,NA,NA,NA,NA,NA,NA
Average age: 25.1,Average age: 25.1,Average age: 25.1,Average age: 25.1,Average age: 25.1,Average age: 25.1,NA,NA,NA,NA,NA,NA
Total market value of arrivals: €229.30m,Total market value of arrivals: €229.30m,Total market value of arrivals: €229.30m,Total market value of arrivals: €229.30m,Total market value of arrivals: €229.30m,Total market value of arrivals: €229.30m,NA,NA,NA,NA,NA,NA
,"Thomas Partey                            
        Defensive Midfield",,Thomas Partey,Defensive Midfield,27,NA,"Atlético Madrid        
    
            LaLiga",NA,Atlético Madrid,LaLiga,€50.00m
,Thomas Partey,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Defensive Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Atlético Madrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Gabriel Magalhães                            
        Centre-Back",,Gabriel Magalhães,Centre-Back,22,NA,"LOSC Lille        
    
            Ligue 1",NA,LOSC Lille,Ligue 1,€26.00m
,Gabriel Magalhães,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LOSC Lille,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ligue 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Pablo Marí                            
        Centre-Back",,Pablo Marí,Centre-Back,26,NA,"Flamengo        
    
            Série A",NA,Flamengo,Série A,€6.00m
,Pablo Marí,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Flamengo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Série A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Martin Ødegaard                            
        Attacking Midfield",,Martin Ødegaard,Attacking Midfield,22,NA,"Real Madrid        
    
            LaLiga",NA,Real Madrid,LaLiga,Loan fee:€2.00m
,Martin Ødegaard,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Attacking Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Real Madrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Rúnar Alex Rúnarsson                            
        Goalkeeper",,Rúnar Alex Rúnarsson,Goalkeeper,25,NA,"Dijon        
    
            Ligue 1",NA,Dijon,Ligue 1,€2.00m
,Rúnar Alex Rúnarsson,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Dijon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ligue 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Willian                            
        Left Winger",,Willian,Left Winger,32,NA,"Chelsea        
    
            Premier League",NA,Chelsea,Premier League,free transfer
,Willian,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Left Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Chelsea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Cédric Soares                            
        Right-Back",,Cédric Soares,Right-Back,28,NA,"Southampton        
    
            Premier League",NA,Southampton,Premier League,free transfer
,Cédric Soares,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Southampton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Mathew Ryan                            
        Goalkeeper",,Mathew Ryan,Goalkeeper,28,NA,"Brighton        
    
            Premier League",NA,Brighton,Premier League,loan transfer
,Mathew Ryan,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
