Player,Position,Fee
Thomas Partey,Defensive Midfield,€50.00m
Gabriel Magalhães,Centre-Back,€26.00m
Pablo Marí,Centre-Back,€6.00m
Martin Ødegaard,Attacking Midfield,Loan fee:€2.00m
Rúnar Alex Rúnarsson,Goalkeeper,€2.00m
Willian,Left Winger,free transfer
Cédric Soares,Right-Back,free transfer
Mathew Ryan,Goalkeeper,loan transfer
Emile Smith Rowe,Attacking Midfield,-
William Saliba,Centre-Back,"End of loanJun 30, 2020"
Henrikh Mkhitaryan,Central Midfield,"End of loanAug 31, 2020"
Ainsley Maitland-Niles,Right-Back,"End of loanMay 31, 2021"
Joe Willock,Central Midfield,"End of loanMay 31, 2021"
Mohamed Elneny,Defensive Midfield,"End of loanAug 3, 2020"
Dejan Iliev,Goalkeeper,"End of loanJan 31, 2021"
Dejan Iliev,Goalkeeper,"End of loanJul 31, 2020"
