Player,Position,Fee
Declan Rice,Central Midfield,€116.60m
Kai Havertz,Centre-Forward,€75.00m
Jurrien Timber,Right-Back,€40.00m
David Raya,Goalkeeper,Loan fee:€3.50m
Folarin Balogun,Centre-Forward,"End of loanJun 30, 2023"
Nicolas Pépé,Right Winger,"End of loanJun 30, 2023"
Nuno Tavares,Left-Back,"End of loanJun 30, 2023"
Albert Sambi Lokonga,Central Midfield,"End of loanMay 31, 2024"
Marquinhos,Right Winger,"End of loanJan 12, 2024"
Pablo Marí,Centre-Back,"End of loanJun 30, 2023"
Cédric Soares,Right-Back,"End of loanJun 30, 2023"
Arthur Okonkwo,Goalkeeper,"End of loanJun 30, 2023"
Arthur Okonkwo,Goalkeeper,"End of loanMay 31, 2024"
Rúnar Alex Rúnarsson,Goalkeeper,"End of loanJun 30, 2023"
Rúnar Alex Rúnarsson,Goalkeeper,"End of loanJan 31, 2024"
