,Player,Age,Nat.,Left,Fee,,,,,,
Sum: €235.10m,Sum: €235.10m,Sum: €235.10m,Sum: €235.10m,Sum: €235.10m,Sum: €235.10m,NA,NA,NA,NA,NA,NA
Average age: 24.8,Average age: 24.8,Average age: 24.8,Average age: 24.8,Average age: 24.8,Average age: 24.8,NA,NA,NA,NA,NA,NA
Total market value of arrivals: €319.10m,Total market value of arrivals: €319.10m,Total market value of arrivals: €319.10m,Total market value of arrivals: €319.10m,Total market value of arrivals: €319.10m,Total market value of arrivals: €319.10m,NA,NA,NA,NA,NA,NA
,"Declan Rice                            
        Central Midfield",,Declan Rice,Central Midfield,24,NA,"West Ham        
    
            Premier League",NA,West Ham,Premier League,€116.60m
,Declan Rice,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Central Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,West Ham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Kai Havertz                            
        Centre-Forward",,Kai Havertz,Centre-Forward,24,NA,"Chelsea        
    
            Premier League",NA,Chelsea,Premier League,€75.00m
,Kai Havertz,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Chelsea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Jurrien Timber                            
        Right-Back",,Jurrien Timber,Right-Back,22,NA,"Ajax        
    
            Eredivisie",NA,Ajax,Eredivisie,€40.00m
,Jurrien Timber,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ajax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Eredivisie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"David Raya                            
        Goalkeeper",,David Raya,Goalkeeper,27,NA,"Brentford        
    
            Premier League",NA,Brentford,Premier League,Loan fee:€3.50m
,David Raya,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Brentford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Folarin Balogun                            
        Centre-Forward",,Folarin Balogun,Centre-Forward,21,NA,"Stade Reims        
    
            Ligue 1",NA,Stade Reims,Ligue 1,"End of loanJun 30, 2023"
,Folarin Balogun,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Stade Reims,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ligue 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Nicolas Pépé                            
        Right Winger",,Nicolas Pépé,Right Winger,28,NA,"OGC Nice        
    
            Ligue 1",NA,OGC Nice,Ligue 1,"End of loanJun 30, 2023"
