"Season","Age","Squad","Country","Comp","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","Matches"
"2017-2018","22","Lille","fr FRA","1. Ligue 1","36","2,841","13","4","2","112","1","1","","","","","38","2,953","14","5","Matches"
"2018-2019","23","Lille","fr FRA","1. Ligue 1","38","3,324","22","11","3","206","1","1","","","","","41","3,530","23","12","Matches"
"2019-2020","24","Arsenal","eng ENG","1. Premier League","31","2,010","5","6","5","407","1","2","6","298","2","2","42","2,715","8","10","Matches"
"2020-2021","25","Arsenal","eng ENG","1. Premier League","29","1,616","10","1","5","416","0","0","13","902","6","4","47","2,934","16","5","Matches"
"2021-2022","26","Arsenal","eng ENG","1. Premier League","20","696","1","2","3","270","2","4","","","","","23","966","3","6","Matches"
"11 Seasons*","11 Seasons*","7 Clubs","","","242","15,173","66","29","24","1,819","5","9","27","1,726","10","6","293","18,718","81","44",""
