,Player,Age,Nat.,Left,Fee,,,,,,
Sum: €160.80m,Sum: €160.80m,Sum: €160.80m,Sum: €160.80m,Sum: €160.80m,Sum: €160.80m,NA,NA,NA,NA,NA,NA
Average age: 22.8,Average age: 22.8,Average age: 22.8,Average age: 22.8,Average age: 22.8,Average age: 22.8,NA,NA,NA,NA,NA,NA
Total market value of arrivals: €184.50m,Total market value of arrivals: €184.50m,Total market value of arrivals: €184.50m,Total market value of arrivals: €184.50m,Total market value of arrivals: €184.50m,Total market value of arrivals: €184.50m,NA,NA,NA,NA,NA,NA
,"Nicolas Pépé                            
        Right Winger",,Nicolas Pépé,Right Winger,24,NA,"LOSC Lille        
    
            Ligue 1",NA,LOSC Lille,Ligue 1,€80.00m
,Nicolas Pépé,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LOSC Lille,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ligue 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"William Saliba                            
        Centre-Back",,William Saliba,Centre-Back,18,NA,"Saint-Étienne        
    
            Ligue 1",NA,Saint-Étienne,Ligue 1,€30.00m
,William Saliba,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Saint-Étienne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ligue 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Kieran Tierney                            
        Left-Back",,Kieran Tierney,Left-Back,22,NA,"Celtic        
    
            Premiership",NA,Celtic,Premiership,€27.00m
,Kieran Tierney,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Left-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Celtic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premiership,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"David Luiz                            
        Centre-Back",,David Luiz,Centre-Back,32,NA,"Chelsea        
    
            Premier League",NA,Chelsea,Premier League,€8.70m
,David Luiz,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Chelsea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Pablo Marí                            
        Centre-Back",,Pablo Marí,Centre-Back,26,NA,"Flamengo        
    
            Série A",NA,Flamengo,Série A,Loan fee:€8.00m
,Pablo Marí,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Flamengo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Série A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Gabriel Martinelli                            
        Left Winger",,Gabriel Martinelli,Left Winger,18,NA,"Ituano        
    
             Brazil",NA,Ituano,Brazil,€7.10m
,Gabriel Martinelli,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Left Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ituano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Dani Ceballos                            
        Central Midfield",,Dani Ceballos,Central Midfield,22,NA,"Real Madrid        
    
            LaLiga",NA,Real Madrid,LaLiga,loan transfer
,Dani Ceballos,,NA,NA,NA,NA,NA,NA,NA,NA,NA
