Player,Position,Fee
Nicolas Pépé,Right Winger,€80.00m
William Saliba,Centre-Back,€30.00m
Kieran Tierney,Left-Back,€27.00m
David Luiz,Centre-Back,€8.70m
Pablo Marí,Centre-Back,Loan fee:€8.00m
Gabriel Martinelli,Left Winger,€7.10m
Dani Ceballos,Central Midfield,loan transfer
Cédric Soares,Right-Back,loan transfer
Reiss Nelson,Right Winger,-
Joe Willock,Central Midfield,-
Bukayo Saka,Right Winger,-
Eddie Nketiah,Centre-Forward,"End of loanJan 2, 2020"
David Ospina,Goalkeeper,"End of loanJun 30, 2019"
Konstantinos Mavropanos,Centre-Back,"End of loanJul 12, 2020"
Takuma Asano,Right Winger,"End of loanJun 30, 2019"
Dejan Iliev,Goalkeeper,"End of loanDec 31, 2019"
