,Player,Age,Nat.,Left,Fee,,,,,,
Sum: €152.85m,Sum: €152.85m,Sum: €152.85m,Sum: €152.85m,Sum: €152.85m,Sum: €152.85m,NA,NA,NA,NA,NA,NA
Average age: 24.4,Average age: 24.4,Average age: 24.4,Average age: 24.4,Average age: 24.4,Average age: 24.4,NA,NA,NA,NA,NA,NA
Total market value of arrivals: €184.70m,Total market value of arrivals: €184.70m,Total market value of arrivals: €184.70m,Total market value of arrivals: €184.70m,Total market value of arrivals: €184.70m,Total market value of arrivals: €184.70m,NA,NA,NA,NA,NA,NA
,"Pierre-Emerick Aubameyang                            
        Centre-Forward",,Pierre-Emerick Aubameyang,Centre-Forward,28,NA,"Bor. Dortmund        
    
            Bundesliga",NA,Bor. Dortmund,Bundesliga,€63.75m
,Pierre-Emerick Aubameyang,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bor. Dortmund,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bundesliga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Alexandre Lacazette                            
        Centre-Forward",,Alexandre Lacazette,Centre-Forward,26,NA,"Olympique Lyon        
    
            Ligue 1",NA,Olympique Lyon,Ligue 1,€53.00m
,Alexandre Lacazette,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Olympique Lyon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ligue 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Henrikh Mkhitaryan                            
        Central Midfield",,Henrikh Mkhitaryan,Central Midfield,29,NA,"Man Utd        
    
            Premier League",NA,Man Utd,Premier League,€34.00m
,Henrikh Mkhitaryan,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Central Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Man Utd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Konstantinos Mavropanos                            
        Centre-Back",,Konstantinos Mavropanos,Centre-Back,20,NA,"PAS Giannina        
    
            Super League 1",NA,PAS Giannina,Super League 1,€2.10m
,Konstantinos Mavropanos,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,PAS Giannina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Super League 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Sead Kolasinac                            
        Centre-Back",,Sead Kolasinac,Centre-Back,24,NA,"FC Schalke 04        
    
            Bundesliga",NA,FC Schalke 04,Bundesliga,free transfer
,Sead Kolasinac,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,FC Schalke 04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bundesliga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Ainsley Maitland-Niles                            
        Right-Back",,Ainsley Maitland-Niles,Right-Back,19,NA,"Arsenal U21        
    
            Premier League 2",NA,Arsenal U21,Premier League 2,-
,Ainsley Maitland-Niles,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Arsenal U21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Wojciech Szczęsny                            
        Goalkeeper",,Wojciech Szczęsny,Goalkeeper,27,NA,"AS Roma        
    
            Serie A",NA,AS Roma,Serie A,"End of loanJun 30, 2017"
,Wojciech Szczęsny,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,AS Roma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Serie A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Joel Campbell                            
        Right Winger",,Joel Campbell,Right Winger,25,NA,"Sporting CP        
    
            Liga Portugal",NA,Sporting CP,Liga Portugal,"End of loanJun 30, 2017"
,Joel Campbell,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Sporting CP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Liga Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Carl Jenkinson                            
        Right-Back",,Carl Jenkinson,Right-Back,26,NA,"Birmingham        
    
            Championship",NA,Birmingham,Championship,"End of loanMay 31, 2018"
,Carl Jenkinson,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Birmingham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Championship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Krystian Bielik                            
        Centre-Back",,Krystian Bielik,Centre-Back,20,NA,"Walsall        
    
            League One",NA,Walsall,League One,"End of loanMay 31, 2018"
,Krystian Bielik,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Walsall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,League One,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
