"Season","Age","Squad","Country","Comp","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","Matches"
"2015-2016","26","Dortmund","de GER","1. Bundesliga","31","2,467","25","5","4","390","3","2","10","772","8","0","45","3,629","36","7","Matches"
"2016-2017","27","Dortmund","de GER","1. Bundesliga","32","2,779","31","3","5","467","2","1","9","708","7","1","46","3,954","40","5","Matches"
"2017-2018","28","Dortmund","de GER","1. Bundesliga","16","1,416","13","3","2","210","4","0","6","540","4","0","24","2,166","21","3","Matches"
"2017-2018","28","Arsenal","eng ENG","1. Premier League","13","1,057","10","4","1","90","0","0","","","","","14","1,147","10","4","Matches"
"2018-2019","29","Arsenal","eng ENG","1. Premier League","36","2,726","22","5","3","195","1","0","12","933","8","2","51","3,854","31","7","Matches"
"2019-2020","30","Arsenal","eng ENG","1. Premier League","36","3,136","22","3","2","180","4","0","6","408","3","0","44","3,724","29","3","Matches"
"16 Seasons*","16 Seasons*","9 Clubs","","","472","36,102","242","63","27","2,501","26","6","100","7,035","51","10","599","45,638","319","79",""
