Player,Position,Fee
Pierre-Emerick Aubameyang,Centre-Forward,€63.75m
Alexandre Lacazette,Centre-Forward,€53.00m
Henrikh Mkhitaryan,Central Midfield,€34.00m
Konstantinos Mavropanos,Centre-Back,€2.10m
Sead Kolasinac,Centre-Back,free transfer
Ainsley Maitland-Niles,Right-Back,-
Wojciech Szczęsny,Goalkeeper,"End of loanJun 30, 2017"
Joel Campbell,Right Winger,"End of loanJun 30, 2017"
Carl Jenkinson,Right-Back,"End of loanMay 31, 2018"
Krystian Bielik,Centre-Back,"End of loanMay 31, 2018"
