"Date","Time","Round","Day","Venue","Result","GF","GA","Opponent","xG","xGA","Poss","Attendance","Captain","Formation","Opp Formation","Referee","Match Report","Notes"
"2018-11-11","16:30","Matchweek 12","Sun","Home","D",1,1,"Wolves",0.9,1.9,71,"60,030","Mesut Özil","4-2-3-1","3-4-3","Stuart Attwell","Match Report",NA
"2018-11-25","13:30","Matchweek 13","Sun","Away","W",2,1,"Bournemouth",1.6,0.6,58,"10,792","Granit Xhaka","3-4-3","4-4-2","Craig Pawson","Match Report",NA
"2018-12-02","14:05","Matchweek 14","Sun","Home","W",4,2,"Tottenham",2.7,1.2,59,"59,973","Granit Xhaka","3-4-3","4-1-2-1-2","Mike Dean","Match Report",NA
"2018-12-05","20:00","Matchweek 15","Wed","Away","D",2,2,"Manchester Utd",1.1,1.1,55,"74,507","Aaron Ramsey","3-4-3","3-4-1-2","Andre Marriner","Match Report",NA
"2018-12-08","15:00","Matchweek 16","Sat","Home","W",1,0,"Huddersfield",1.4,0.3,62,"59,893","Granit Xhaka","3-1-4-2","4-2-3-1","Paul Tierney","Match Report",NA
"2018-12-16","13:30","Matchweek 17","Sun","Away","L",2,3,"Southampton",1.9,1.3,66,"29,497","Laurent Koscielny","3-4-3","3-4-3","Chris Kavanagh","Match Report",NA
"2018-12-22","12:30","Matchweek 18","Sat","Home","W",3,1,"Burnley",1.6,1.2,60,"59,493","Mesut Özil","4-3-1-2","5-3-2","Kevin Friend","Match Report",NA
"2018-12-26","17:15","Matchweek 19","Wed","Away","D",1,1,"Brighton",0.8,1.1,67,"30,608","Laurent Koscielny","4-1-2-1-2◆","4-5-1","Anthony Taylor","Match Report",NA
"2018-12-29","17:30","Matchweek 20","Sat","Away","L",1,5,"Liverpool",1,3.8,52,"53,326","Aaron Ramsey","4-2-3-1","4-2-3-1","Michael Oliver","Match Report",NA
"2019-01-01","15:00","Matchweek 21","Tue","Home","W",4,1,"Fulham",4.5,1.4,60,"59,887","Laurent Koscielny","3-4-3","3-4-3","Graham Scott","Match Report",NA
"2019-01-12","12:30","Matchweek 22","Sat","Away","L",0,1,"West Ham",0.7,0.6,58,"59,946","Laurent Koscielny","3-4-3","4-2-3-1","Jonathan Moss","Match Report",NA
"2019-01-19","17:30","Matchweek 23","Sat","Home","W",2,0,"Chelsea",1.5,0.9,36,"59,979","Laurent Koscielny","4-1-2-1-2◆","4-3-3","Anthony Taylor","Match Report",NA
"2019-01-29","19:45","Matchweek 24","Tue","Home","W",2,1,"Cardiff City",2.6,0.8,70,"59,933","Mesut Özil","4-3-1-2","3-5-2","Mike Dean","Match Report",NA
"2019-02-03","16:30","Matchweek 25","Sun","Away","L",1,3,"Manchester City",0.7,2.7,41,"54,483","Laurent Koscielny","4-4-2","4-3-3","Martin Atkinson","Match Report",NA
"2019-02-09","15:00","Matchweek 26","Sat","Away","W",2,1,"Huddersfield",1.4,1.6,45,"24,182","Laurent Koscielny","3-4-3","4-1-2-1-2","Jonathan Moss","Match Report",NA
"2019-02-24","14:05","Matchweek 27","Sun","Home","W",2,0,"Southampton",2.1,0.8,62,"59,877","Aaron Ramsey","4-2-3-1","3-5-1-1","Graham Scott","Match Report",NA
"2019-02-27","19:45","Matchweek 28","Wed","Home","W",5,1,"Bournemouth",2.5,0.9,64,"59,618","Laurent Koscielny","3-4-3","4-4-2","Chris Kavanagh","Match Report",NA
"2019-03-02","12:30","Matchweek 29","Sat","Away","D",1,1,"Tottenham",2.6,1.6,40,"81,332","Laurent Koscielny","4-2-3-1","3-4-1-2","Anthony Taylor","Match Report",NA
"2019-03-10","16:30","Matchweek 30","Sun","Home","W",2,0,"Manchester Utd",1.7,2.3,46,"60,000","Laurent Koscielny","3-4-1-2","4-4-2","Jonathan Moss","Match Report",NA
"2019-04-01","20:00","Matchweek 32","Mon","Home","W",2,0,"Newcastle Utd",0.8,0.1,70,"59,869","Aaron Ramsey","3-4-3","5-4-1","Anthony Taylor","Match Report",NA
"2019-04-07","14:05","Matchweek 33","Sun","Away","L",0,1,"Everton",0.3,2.4,57,"39,400","Mesut Özil","3-4-3","4-2-3-1","Kevin Friend","Match Report",NA
"2019-04-15","20:00","Matchweek 34","Mon","Away","W",1,0,"Watford",2.3,1,65,"20,480","Laurent Koscielny","4-2-3-1","3-5-2","Craig Pawson","Match Report",NA
"2019-04-21","16:00","Matchweek 35","Sun","Home","L",2,3,"Crystal Palace",1.2,1.6,72,"59,929","Laurent Koscielny","3-4-1-2","4-4-2","Jonathan Moss","Match Report",NA
"2019-04-24","19:45","Matchweek 31","Wed","Away","L",1,3,"Wolves",0.8,1.2,70,"31,436","Laurent Koscielny","4-2-3-1","3-5-2","Stuart Attwell","Match Report",NA
"2019-04-28","12:00","Matchweek 36","Sun","Away","L",0,3,"Leicester City",0.6,3.3,34,"32,037","Granit Xhaka","4-4-2","4-1-4-1","Michael Oliver","Match Report",NA
"2019-05-05","16:30","Matchweek 37","Sun","Home","D",1,1,"Brighton",2.4,1.9,70,"59,965","Mesut Özil","4-3-1-2","4-5-1","Anthony Taylor","Match Report",NA
"2019-05-12","15:00","Matchweek 38","Sun","Away","W",3,1,"Burnley",2.7,1.7,60,"21,461","Nacho Monreal","4-2-3-1","4-4-2","Mike Dean","Match Report",NA
