"Date","Time","Round","Day","Venue","Result","GF","GA","Opponent","xG","xGA","Poss","Attendance","Captain","Formation","Opp Formation","Referee","Match Report","Notes"
"2018-08-12","16:00","Matchweek 1","Sun","Home","L",0,2,"Manchester City",0.5,1.7,42,"59,934","Petr Čech","4-2-3-1","4-2-3-1","Michael Oliver","Match Report",NA
"2018-08-18","17:30","Matchweek 2","Sat","Away","L",2,3,"Chelsea",2.4,1.6,38,"40,491","Petr Čech","4-2-3-1","4-3-3","Martin Atkinson","Match Report",NA
"2018-08-25","15:00","Matchweek 3","Sat","Home","W",3,1,"West Ham",1.8,1.1,61,"59,830","Petr Čech","4-2-3-1","4-4-1-1","Graham Scott","Match Report",NA
"2018-09-02","13:30","Matchweek 4","Sun","Away","W",3,2,"Cardiff City",1.7,1,72,"32,316","Petr Čech","4-2-3-1","4-4-2","Anthony Taylor","Match Report",NA
"2018-09-15","15:00","Matchweek 5","Sat","Away","W",2,1,"Newcastle Utd",1,0.4,63,"52,165","Petr Čech","4-2-3-1","4-4-1-1","Lee Probert","Match Report",NA
"2018-09-23","16:00","Matchweek 6","Sun","Home","W",2,0,"Everton",0.8,0.8,62,"59,964","Petr Čech","4-2-3-1","4-2-3-1","Jonathan Moss","Match Report",NA
"2018-09-29","15:00","Matchweek 7","Sat","Home","W",2,0,"Watford",1.4,2.8,63,"60,019","Petr Čech","4-2-3-1","4-2-2-2","Anthony Taylor","Match Report",NA
"2018-10-07","12:00","Matchweek 8","Sun","Away","W",5,1,"Fulham",1.1,1.4,52,"25,401","Granit Xhaka","4-4-2","3-4-3","Paul Tierney","Match Report",NA
"2018-10-22","20:00","Matchweek 9","Mon","Home","W",3,1,"Leicester City",2.7,0.5,68,"59,886","Mesut Özil","4-2-3-1","3-4-1-2","Chris Kavanagh","Match Report",NA
"2018-10-28","13:30","Matchweek 10","Sun","Away","D",2,2,"Crystal Palace",0.9,2.3,57,"25,718","Mesut Özil","4-2-3-1","4-4-2","Martin Atkinson","Match Report",NA
"2018-11-03","17:30","Matchweek 11","Sat","Home","D",1,1,"Liverpool",1.4,1.3,61,"59,993","Mesut Özil","4-2-3-1","4-3-3","Andre Marriner","Match Report",NA
