"Date","Time","Round","Day","Venue","Result","GF","GA","Opponent","xG","xGA","Poss","Attendance","Captain","Formation","Opp Formation","Referee","Match Report","Notes"
"2023-08-12","12:30","Matchweek 1","Sat","Home","W",2,1,"Nott'ham Forest",0.8,1.2,78,"59,984","Martin Ødegaard","4-3-3","3-4-3","Michael Oliver","Match Report",NA
"2023-08-21","20:00","Matchweek 2","Mon","Away","W",1,0,"Crystal Palace",2,1,53,"24,189","Martin Ødegaard","4-3-3","4-2-3-1","David Coote","Match Report",NA
"2023-08-26","15:00","Matchweek 3","Sat","Home","D",2,2,"Fulham",3.2,0.6,71,"59,961","Martin Ødegaard","4-3-3","4-3-3","Paul Tierney","Match Report",NA
"2023-09-03","16:30","Matchweek 4","Sun","Home","W",3,1,"Manchester Utd",2.3,0.9,55,"60,192","Martin Ødegaard","4-3-3","4-2-3-1","Anthony Taylor","Match Report",NA
"2023-09-17","16:30","Matchweek 5","Sun","Away","W",1,0,"Everton",1,0.3,74,"39,217","Martin Ødegaard","4-3-3","4-5-1","Simon Hooper","Match Report",NA
"2023-09-24","14:00","Matchweek 6","Sun","Home","D",2,2,"Tottenham",1.8,1.4,47,"60,156","Martin Ødegaard","4-3-3","4-2-3-1","Robert Jones","Match Report",NA
"2023-09-30","15:00","Matchweek 7","Sat","Away","W",4,0,"Bournemouth",3.4,0.6,57,"11,193","Martin Ødegaard","4-3-3","4-2-3-1","Michael Salisbury","Match Report",NA
"2023-10-08","16:30","Matchweek 8","Sun","Home","W",1,0,"Manchester City",0.4,0.5,49,"60,233","Martin Ødegaard","4-3-3","4-3-3","Michael Oliver","Match Report",NA
"2023-10-21","17:30","Matchweek 9","Sat","Away","D",2,2,"Chelsea",1,1.3,56,"39,723","Martin Ødegaard","4-3-3","4-2-3-1","Chris Kavanagh","Match Report",NA
"2023-10-28","15:00","Matchweek 10","Sat","Home","W",5,0,"Sheffield Utd",2.8,0,67,"60,153","Bukayo Saka","4-3-3","4-4-2","Tim Robinson","Match Report",NA
"2023-11-04","17:30","Matchweek 11","Sat","Away","L",0,1,"Newcastle Utd",0.6,1,58,"52,194","Jorginho","4-3-3","4-3-3","Stuart Attwell","Match Report",NA
"2023-11-11","15:00","Matchweek 12","Sat","Home","W",3,1,"Burnley",1.8,0.3,63,"60,232","Jorginho","4-3-3","4-4-2","Michael Oliver","Match Report",NA
"2023-11-25","17:30","Matchweek 13","Sat","Away","W",1,0,"Brentford",1.6,1.1,63,"17,201","Martin Ødegaard","4-3-3","5-3-2","Tim Robinson","Match Report",NA
"2023-12-02","15:00","Matchweek 14","Sat","Home","W",2,1,"Wolves",2.8,0.7,57,"60,262","Martin Ødegaard","4-3-3","3-5-2","Peter Bankes","Match Report",NA
"2023-12-05","20:15","Matchweek 15","Tue","Away","W",4,3,"Luton Town",2.2,0.5,66,"11,031","Martin Ødegaard","4-3-3","3-4-3","Samuel Barrott","Match Report",NA
"2023-12-09","17:30","Matchweek 16","Sat","Away","L",0,1,"Aston Villa",1.4,0.6,61,"42,000","Martin Ødegaard","4-3-3","4-4-1-1","Jarred Gillett","Match Report",NA
"2023-12-17","14:00","Matchweek 17","Sun","Home","W",2,0,"Brighton",2.3,0.7,49,"60,257","Martin Ødegaard","4-3-3","4-2-3-1","Tim Robinson","Match Report",NA
"2023-12-23","17:30","Matchweek 18","Sat","Away","D",1,1,"Liverpool",0.7,1,48,"57,548","Martin Ødegaard","4-3-3","4-3-3","Chris Kavanagh","Match Report",NA
"2023-12-28","20:15","Matchweek 19","Thu","Home","L",0,2,"West Ham",2.7,1.4,73,"60,261","Martin Ødegaard","4-3-3","4-2-3-1","Michael Oliver","Match Report",NA
"2023-12-31","14:00","Matchweek 20","Sun","Away","L",1,2,"Fulham",1.6,1.2,60,"24,444","Martin Ødegaard","4-3-3","4-2-3-1","Joshua Smith","Match Report",NA
"2024-01-20","12:30","Matchweek 21","Sat","Home","W",5,0,"Crystal Palace",3.3,0.3,60,"60,284","Martin Ødegaard","4-3-3","3-4-3","Paul Tierney","Match Report",NA
"2024-01-30","19:30","Matchweek 22","Tue","Away","W",2,1,"Nott'ham Forest",1.2,0.5,73,"29,387","Martin Ødegaard","4-3-3","4-2-3-1","Simon Hooper","Match Report",NA
"2024-02-04","16:30","Matchweek 23","Sun","Home","W",3,1,"Liverpool",3.5,0.4,43,"60,374","Martin Ødegaard","4-3-3","4-3-3","Anthony Taylor","Match Report",NA
