"Date","Time","Round","Day","Venue","Result","GF","GA","Opponent","xG","xGA","Poss","Attendance","Captain","Formation","Opp Formation","Referee","Match Report","Notes"
"2024-02-11","14:00","Matchweek 24","Sun","Away","W",6,0,"West Ham",3.6,0.2,70,"62,475","Martin Ødegaard","4-3-3","4-2-3-1","Craig Pawson","Match Report",NA
"2024-02-17","15:00","Matchweek 25","Sat","Away","W",5,0,"Burnley",2.3,0.3,64,"21,311","Martin Ødegaard","4-3-3","4-4-2","Jarred Gillett","Match Report",NA
"2024-02-24","20:00","Matchweek 26","Sat","Home","W",4,1,"Newcastle Utd",2.8,0.2,55,"60,298","Martin Ødegaard","4-3-3","4-3-3","Paul Tierney","Match Report",NA
"2024-03-04","20:00","Matchweek 27","Mon","Away","W",6,0,"Sheffield Utd",2.3,0.2,80,"29,157","Martin Ødegaard","4-3-3","4-5-1","Samuel Barrott","Match Report",NA
"2024-03-09","17:30","Matchweek 28","Sat","Home","W",2,1,"Brentford",1.3,1,71,"60,331","Martin Ødegaard","4-3-3","3-5-2","Robert Jones","Match Report",NA
"2024-03-31","16:30","Matchweek 30","Sun","Away","D",0,0,"Manchester City",0.7,1,28,"52,178","Martin Ødegaard","4-3-3","4-1-4-1","Anthony Taylor","Match Report",NA
"2024-04-03","19:30","Matchweek 31","Wed","Home","W",2,0,"Luton Town",0.7,0.3,58,"60,262","Martin Ødegaard","4-3-3","3-4-3","Craig Pawson","Match Report",NA
"2024-04-06","17:30","Matchweek 32","Sat","Away","W",3,0,"Brighton",3.4,0.5,46,"31,677","Martin Ødegaard","4-3-3","4-2-3-1","John Brooks","Match Report",NA
"2024-04-14","16:30","Matchweek 33","Sun","Home","L",0,2,"Aston Villa",1.6,0.9,52,"60,350","Martin Ødegaard","4-3-3","4-2-3-1","David Coote","Match Report",NA
"2024-04-20","19:30","Matchweek 34","Sat","Away","W",2,0,"Wolves",1.2,0.2,54,"31,621","Martin Ødegaard","4-3-3","4-4-2","Paul Tierney","Match Report",NA
"2024-04-23","20:00","Matchweek 29","Tue","Home","W",5,0,"Chelsea",3.3,1.6,45,"60,238","Martin Ødegaard","4-3-3","4-2-3-1","Simon Hooper","Match Report",NA
"2024-04-28","14:00","Matchweek 35","Sun","Away","W",3,2,"Tottenham",1,2.3,38,"61,554","Martin Ødegaard","4-3-3","4-2-3-1","Michael Oliver","Match Report",NA
"2024-05-04","12:30","Matchweek 36","Sat","Home","W",3,0,"Bournemouth",3.3,0.5,55,"60,348","Martin Ødegaard","4-3-3","4-3-3","David Coote","Match Report",NA
"2024-05-12","16:30","Matchweek 37","Sun","Away","W",1,0,"Manchester Utd",1.5,0.5,46,"73,600","Martin Ødegaard","4-3-3","4-2-3-1","Paul Tierney","Match Report",NA
"2024-05-19","16:00","Matchweek 38","Sun","Home","W",2,1,"Everton",2.9,0.6,68,"60,312","Martin Ødegaard","4-3-3","4-4-1-1","Michael Oliver","Match Report",NA
