"Date","Time","Round","Day","Venue","Result","GF","GA","Opponent","Poss","Attendance","Captain","Formation","Opp Formation","Referee","Match Report","Notes"
"2014-08-16","17:30","Matchweek 1","Sat","Home","W",2,1,"Crystal Palace",76,"59,962",NA,"4-1-4-1","4-4-1-1","Jonathan Moss","Match Report",NA
"2014-08-23","17:30","Matchweek 2","Sat","Away","D",2,2,"Everton",54,"39,490",NA,"4-1-4-1","4-2-3-1","Kevin Friend","Match Report",NA
"2014-08-31","16:00","Matchweek 3","Sun","Away","D",1,1,"Leicester City",68,"31,535",NA,"4-1-4-1","4-4-2","Anthony Taylor","Match Report",NA
"2014-09-13","12:45","Matchweek 4","Sat","Home","D",2,2,"Manchester City",45,"60,003",NA,"4-1-4-1","4-2-3-1","Mark Clattenburg","Match Report",NA
"2014-09-20","15:00","Matchweek 5","Sat","Away","W",3,0,"Aston Villa",71,"40,013",NA,"4-2-3-1","4-5-1","Mike Jones","Match Report",NA
"2014-09-27","17:30","Matchweek 6","Sat","Home","D",1,1,"Tottenham",69,"59,900",NA,"4-1-4-1","4-2-3-1","Michael Oliver","Match Report",NA
"2014-10-05","14:05","Matchweek 7","Sun","Away","L",0,2,"Chelsea",53,"41,607",NA,"4-1-4-1","4-2-3-1","Martin Atkinson","Match Report",NA
"2014-10-18","15:00","Matchweek 8","Sat","Home","D",2,2,"Hull City",66,"60,004",NA,"4-1-4-1","3-5-1-1","Roger East","Match Report",NA
"2014-10-25","15:00","Matchweek 9","Sat","Away","W",2,0,"Sunderland",57,"44,449",NA,"4-2-3-1","4-1-4-1","Kevin Friend","Match Report",NA
"2014-11-01","15:00","Matchweek 10","Sat","Home","W",3,0,"Burnley",68,"60,012",NA,"4-2-3-1","4-4-1-1","Craig Pawson","Match Report",NA
"2014-11-09","16:00","Matchweek 11","Sun","Away","L",1,2,"Swansea City",52,"20,812",NA,"4-2-3-1","4-2-3-1","Philip Dowd","Match Report",NA
"2014-11-22","17:30","Matchweek 12","Sat","Home","L",1,2,"Manchester Utd",61,"60,074",NA,"4-2-3-1","3-4-1-2","Mike Dean","Match Report",NA
"2014-11-29","12:45","Matchweek 13","Sat","Away","W",1,0,"West Brom",52,"24,228",NA,"4-2-3-1","4-2-3-1","Chris Foy","Match Report",NA
"2014-12-03","19:45","Matchweek 14","Wed","Home","W",1,0,"Southampton",59,"60,025",NA,"4-2-3-1","4-3-3","Andre Marriner","Match Report",NA
"2014-12-06","15:00","Matchweek 15","Sat","Away","L",2,3,"Stoke City",58,"27,367",NA,"4-2-3-1","4-2-3-1","Anthony Taylor","Match Report",NA
"2014-12-13","17:30","Matchweek 16","Sat","Home","W",4,1,"Newcastle Utd",51,"59,949",NA,"4-2-3-1","4-2-3-1","Lee Mason","Match Report",NA
"2014-12-21","16:00","Matchweek 17","Sun","Away","D",2,2,"Liverpool",37,"44,703",NA,"4-3-3","3-4-3","Michael Oliver","Match Report",NA
"2014-12-26","17:30","Matchweek 18","Fri","Home","W",2,1,"QPR",56,"59,947",NA,"4-3-3","3-5-2","Martin Atkinson","Match Report",NA
"2014-12-28","15:00","Matchweek 19","Sun","Away","W",2,1,"West Ham",42,"34,977",NA,"4-2-3-1","4-1-2-1-2","Niel Swarbrick","Match Report",NA
"2015-01-01","15:00","Matchweek 20","Thu","Away","L",0,2,"Southampton",59,"31,492",NA,"4-2-3-1","4-2-3-1","Craig Pawson","Match Report",NA
"2015-01-11","13:30","Matchweek 21","Sun","Home","W",3,0,"Stoke City",54,"59,956",NA,"4-2-3-1","4-2-3-1","Jonathan Moss","Match Report",NA
"2015-01-18","16:00","Matchweek 22","Sun","Away","W",2,0,"Manchester City",35,"45,596",NA,"4-1-4-1","4-2-3-1","Mike Dean","Match Report",NA
"2015-02-01","13:30","Matchweek 23","Sun","Home","W",5,0,"Aston Villa",48,"59,958",NA,"4-2-3-1","4-3-3","Anthony Taylor","Match Report",NA
"2015-02-07","12:45","Matchweek 24","Sat","Away","L",1,2,"Tottenham",44,"35,659",NA,"4-3-3","4-2-3-1","Martin Atkinson","Match Report",NA
"2015-02-10","19:45","Matchweek 25","Tue","Home","W",2,1,"Leicester City",57,"60,032",NA,"4-3-3","5-4-1","Mike Jones","Match Report",NA
"2015-02-21","15:00","Matchweek 26","Sat","Away","W",2,1,"Crystal Palace",47,"24,721",NA,"4-2-3-1","4-1-4-1","Mark Clattenburg","Match Report",NA
"2015-03-01","14:05","Matchweek 27","Sun","Home","W",2,0,"Everton",47,"59,925",NA,"4-2-3-1","4-3-3","Andre Marriner","Match Report",NA
"2015-03-04","19:45","Matchweek 28","Wed","Away","W",2,1,"QPR",57,"17,977",NA,"4-3-3","4-4-2","Kevin Friend","Match Report",NA
"2015-03-14","15:00","Matchweek 29","Sat","Home","W",3,0,"West Ham",68,"60,002",NA,"4-2-3-1","4-2-3-1","Chris Foy","Match Report",NA
"2015-03-21","15:00","Matchweek 30","Sat","Away","W",2,1,"Newcastle Utd",49,"50,544",NA,"4-2-3-1","4-2-3-1","Mike Jones","Match Report",NA
"2015-04-04","12:45","Matchweek 31","Sat","Home","W",4,1,"Liverpool",49,"60,081",NA,"4-2-3-1","3-4-3","Anthony Taylor","Match Report",NA
"2015-04-11","17:30","Matchweek 32","Sat","Away","W",1,0,"Burnley",68,"20,615",NA,"4-2-3-1","4-4-2","Mike Dean","Match Report",NA
"2015-04-26","16:00","Matchweek 34","Sun","Home","D",0,0,"Chelsea",57,"60,066",NA,"4-2-3-1","4-2-3-1","Michael Oliver","Match Report",NA
"2015-05-04","20:00","Matchweek 35","Mon","Away","W",3,1,"Hull City",68,"23,628",NA,"4-2-3-1","3-5-2","Lee Mason","Match Report",NA
"2015-05-11","20:00","Matchweek 36","Mon","Home","L",0,1,"Swansea City",68,"59,989",NA,"4-2-3-1","4-3-3","Kevin Friend","Match Report",NA
"2015-05-17","16:00","Matchweek 37","Sun","Away","D",1,1,"Manchester Utd",43,"75,323",NA,"4-2-3-1","4-1-4-1","Mike Dean","Match Report",NA
"2015-05-20","19:45","Matchweek 33","Wed","Home","D",0,0,"Sunderland",75,"59,987",NA,"4-2-3-1","4-2-3-1","Anthony Taylor","Match Report",NA
"2015-05-24","15:00","Matchweek 38","Sun","Home","W",4,1,"West Brom",64,"59,971",NA,"4-2-3-1","4-3-3","Robert Madley","Match Report",NA
