"Date","Time","Round","Day","Venue","Result","GF","GA","Opponent","Poss","Attendance","Captain","Formation","Opp Formation","Referee","Match Report","Notes"
"2016-08-14","16:00","Matchweek 1","Sun","Home","L",3,4,"Liverpool",51,"60,033","Petr Čech","4-2-3-1","4-3-3","Michael Oliver","Match Report",NA
"2016-08-20","17:30","Matchweek 2","Sat","Away","D",0,0,"Leicester City",61,"32,008","Laurent Koscielny","4-2-3-1","4-4-2","Mark Clattenburg","Match Report",NA
"2016-08-27","15:00","Matchweek 3","Sat","Away","W",3,1,"Watford",55,"20,545","Laurent Koscielny","4-2-3-1","3-5-2","Kevin Friend","Match Report",NA
"2016-09-10","15:00","Matchweek 4","Sat","Home","W",2,1,"Southampton",57,"59,962","Laurent Koscielny","4-2-3-1","4-3-3","Robert Madley","Match Report",NA
"2016-09-17","15:00","Matchweek 5","Sat","Away","W",4,1,"Hull City",61,"22,536","Laurent Koscielny","4-2-3-1","4-3-3","Roger East","Match Report",NA
"2016-09-24","17:30","Matchweek 6","Sat","Home","W",3,0,"Chelsea",50,"60,028","Laurent Koscielny","4-2-3-1","4-1-4-1","Michael Oliver","Match Report",NA
"2016-10-02","16:30","Matchweek 7","Sun","Away","W",1,0,"Burnley",67,"20,982","Laurent Koscielny","4-2-3-1","4-5-1","Craig Pawson","Match Report",NA
"2016-10-15","15:00","Matchweek 8","Sat","Home","W",3,2,"Swansea City",49,"60,007","Laurent Koscielny","4-2-3-1","4-4-1-1","Jonathan Moss","Match Report",NA
"2016-10-22","15:00","Matchweek 9","Sat","Home","D",0,0,"Middlesbrough",75,"59,982","Laurent Koscielny","4-2-3-1","4-5-1","Mike Dean","Match Report",NA
"2016-10-29","12:30","Matchweek 10","Sat","Away","W",4,1,"Sunderland",66,"44,322","Laurent Koscielny","4-2-3-1","4-5-1","Martin Atkinson","Match Report",NA
"2016-11-06","12:00","Matchweek 11","Sun","Home","D",1,1,"Tottenham",46,"60,039","Laurent Koscielny","4-2-3-1","3-4-3","Mark Clattenburg","Match Report",NA
"2016-11-19","12:30","Matchweek 12","Sat","Away","D",1,1,"Manchester Utd",55,"75,264","Laurent Koscielny","4-2-3-1","4-3-3","Andre Marriner","Match Report",NA
"2016-11-27","14:15","Matchweek 13","Sun","Home","W",3,1,"Bournemouth",52,"59,978","Laurent Koscielny","4-2-3-1","4-2-3-1","Mike Jones","Match Report",NA
"2016-12-03","17:30","Matchweek 14","Sat","Away","W",5,1,"West Ham",50,"56,980","Laurent Koscielny","4-2-3-1","3-4-3","Craig Pawson","Match Report",NA
"2016-12-10","15:00","Matchweek 15","Sat","Home","W",3,1,"Stoke City",64,"59,964","Laurent Koscielny","4-2-3-1","3-4-3","Lee Mason","Match Report",NA
