"Date","Time","Round","Day","Venue","Result","GF","GA","Opponent","Poss","Attendance","Captain","Formation","Opp Formation","Referee","Match Report","Notes"
"2016-12-13","19:45","Matchweek 16","Tue","Away","L",1,2,"Everton",59,"39,510","Laurent Koscielny","4-2-3-1","4-3-3","Mark Clattenburg","Match Report",NA
"2016-12-18","16:00","Matchweek 17","Sun","Away","L",1,2,"Manchester City",39,"54,409","Laurent Koscielny","4-2-3-1","4-1-4-1","Martin Atkinson","Match Report",NA
"2016-12-26","15:00","Matchweek 18","Mon","Home","W",1,0,"West Brom",76,"59,925","Laurent Koscielny","4-2-3-1","4-2-3-1","Niel Swarbrick","Match Report",NA
"2017-01-01","16:00","Matchweek 19","Sun","Home","W",2,0,"Crystal Palace",64,"59,975","Laurent Koscielny","4-2-3-1","4-2-3-1","Andre Marriner","Match Report",NA
"2017-01-03","19:45","Matchweek 20","Tue","Away","D",3,3,"Bournemouth",60,"11,202","Laurent Koscielny","4-2-3-1","4-2-3-1","Michael Oliver","Match Report",NA
"2017-01-14","15:00","Matchweek 21","Sat","Away","W",4,0,"Swansea City",57,"20,875","Laurent Koscielny","4-2-3-1","4-2-3-1","Mike Jones","Match Report",NA
"2017-01-22","14:15","Matchweek 22","Sun","Home","W",2,1,"Burnley",70,"59,955","Laurent Koscielny","4-2-3-1","4-4-2","Jonathan Moss","Match Report",NA
"2017-01-31","19:45","Matchweek 23","Tue","Home","L",1,2,"Watford",74,"60,035","Laurent Koscielny","4-2-3-1","4-5-1","Andre Marriner","Match Report",NA
"2017-02-04","12:30","Matchweek 24","Sat","Away","L",1,3,"Chelsea",59,"41,490","Laurent Koscielny","4-2-3-1","3-4-3","Martin Atkinson","Match Report",NA
"2017-02-11","12:30","Matchweek 25","Sat","Home","W",2,0,"Hull City",49,"59,962","Laurent Koscielny","4-2-3-1","4-1-4-1","Mark Clattenburg","Match Report",NA
"2017-03-04","17:30","Matchweek 27","Sat","Away","L",1,3,"Liverpool",48,"53,146","Laurent Koscielny","4-2-3-1","4-3-3","Robert Madley","Match Report",NA
"2017-03-18","12:30","Matchweek 29","Sat","Away","L",1,3,"West Brom",77,"24,065","Laurent Koscielny","4-2-3-1","4-5-1","Niel Swarbrick","Match Report",NA
"2017-04-02","16:00","Matchweek 30","Sun","Home","D",2,2,"Manchester City",44,"60,001","Laurent Koscielny","4-2-3-1","4-2-3-1","Andre Marriner","Match Report",NA
"2017-04-05","19:45","Matchweek 31","Wed","Home","W",3,0,"West Ham",66,"59,961","Theo Walcott","4-2-3-1","4-1-4-1","Martin Atkinson","Match Report",NA
"2017-04-10","20:00","Matchweek 32","Mon","Away","L",0,3,"Crystal Palace",72,"25,648","Theo Walcott","4-2-3-1","4-2-3-1","Michael Oliver","Match Report",NA
"2017-04-17","20:00","Matchweek 33","Mon","Away","W",2,1,"Middlesbrough",65,"31,298","Laurent Koscielny","3-4-3","4-3-3","Anthony Taylor","Match Report",NA
"2017-04-26","19:45","Matchweek 28","Wed","Home","W",1,0,"Leicester City",69,"59,829","Laurent Koscielny","3-4-3","4-4-2","Mike Jones","Match Report",NA
"2017-04-30","16:30","Matchweek 35","Sun","Away","L",0,2,"Tottenham",49,"31,811","Laurent Koscielny","3-4-3","4-2-3-1","Michael Oliver","Match Report",NA
"2017-05-07","16:00","Matchweek 36","Sun","Home","W",2,0,"Manchester Utd",50,"60,055","Laurent Koscielny","3-4-3","4-3-3","Andre Marriner","Match Report",NA
"2017-05-10","19:45","Matchweek 26","Wed","Away","W",2,0,"Southampton",53,"31,474","Petr Čech","3-4-3","4-2-3-1","Jonathan Moss","Match Report",NA
"2017-05-13","17:30","Matchweek 37","Sat","Away","W",4,1,"Stoke City",67,"27,535","Laurent Koscielny","3-4-3","4-2-3-1","Mike Dean","Match Report",NA
"2017-05-16","19:45","Matchweek 34","Tue","Home","W",2,0,"Sunderland",63,"59,510","Petr Čech","3-4-3","3-5-2","Roger East","Match Report",NA
"2017-05-21","15:00","Matchweek 38","Sun","Home","W",3,1,"Everton",50,"59,976","Laurent Koscielny","3-4-3","4-3-3","Michael Oliver","Match Report",NA
