"Date","Time","Round","Day","Venue","Result","GF","GA","Opponent","xG","xGA","Poss","Attendance","Captain","Formation","Opp Formation","Referee","Match Report","Notes"
"2020-09-12","12:30","Matchweek 1","Sat","Away","W",3,0,"Fulham",1.9,0.1,54,"","Pierre-Emerick Aubameyang","3-4-3","4-2-3-1","Chris Kavanagh","Match Report",NA
"2020-09-19","20:00","Matchweek 2","Sat","Home","W",2,1,"West Ham",1.1,2,62,"","Pierre-Emerick Aubameyang","3-4-3","5-4-1","Michael Oliver","Match Report",NA
"2020-09-28","20:00","Matchweek 3","Mon","Away","L",1,3,"Liverpool",1.3,2.7,34,"","Pierre-Emerick Aubameyang","3-4-3","4-3-3","Craig Pawson","Match Report",NA
"2020-10-04","14:00","Matchweek 4","Sun","Home","W",2,1,"Sheffield Utd",0.6,0.2,64,"","Pierre-Emerick Aubameyang","4-3-3","3-5-2","Lee Mason","Match Report",NA
"2020-10-17","17:30","Matchweek 5","Sat","Away","L",0,1,"Manchester City",0.9,1.3,42,"","Pierre-Emerick Aubameyang","4-3-3","3-1-4-2","Chris Kavanagh","Match Report",NA
"2020-10-25","19:15","Matchweek 6","Sun","Home","L",0,1,"Leicester City",0.7,0.7,56,"","Pierre-Emerick Aubameyang","3-4-3","3-4-3","Craig Pawson","Match Report",NA
"2020-11-01","16:30","Matchweek 7","Sun","Away","W",1,0,"Manchester Utd",1,0.4,46,"","Pierre-Emerick Aubameyang","3-4-3","4-1-2-1-2","Mike Dean","Match Report",NA
"2020-11-08","19:15","Matchweek 8","Sun","Home","L",0,3,"Aston Villa",1.5,1.8,59,"","Pierre-Emerick Aubameyang","3-4-3","4-2-3-1","Martin Atkinson","Match Report",NA
"2020-11-22","16:30","Matchweek 9","Sun","Away","D",0,0,"Leeds United",0.9,1.8,34,"","Pierre-Emerick Aubameyang","4-2-3-1","4-1-4-1","Anthony Taylor","Match Report",NA
"2020-11-29","19:15","Matchweek 10","Sun","Home","L",1,2,"Wolves",1.5,1.8,56,"","Pierre-Emerick Aubameyang","4-2-3-1","4-2-3-1","Michael Oliver","Match Report",NA
"2020-12-06","16:30","Matchweek 11","Sun","Away","L",0,2,"Tottenham",0.6,0.3,69,"2,000","Pierre-Emerick Aubameyang","4-2-3-1","4-2-3-1","Martin Atkinson","Match Report",NA
"2020-12-13","19:15","Matchweek 12","Sun","Home","L",0,1,"Burnley",1.6,1.4,65,"2,000","Pierre-Emerick Aubameyang","4-2-3-1","4-4-1-1","Graham Scott","Match Report",NA
"2020-12-16","18:00","Matchweek 13","Wed","Home","D",1,1,"Southampton",0.6,1.2,36,"","Pierre-Emerick Aubameyang","3-4-3","4-4-2","Paul Tierney","Match Report",NA
"2020-12-19","17:30","Matchweek 14","Sat","Away","L",1,2,"Everton",1.4,0.6,57,"","Rob Holding","3-4-3","4-2-3-1","Andre Marriner","Match Report",NA
"2020-12-26","17:30","Matchweek 15","Sat","Home","W",3,1,"Chelsea",2,2.6,40,"","Héctor Bellerín","4-2-3-1","4-3-3","Michael Oliver","Match Report",NA
"2020-12-29","18:00","Matchweek 16","Tue","Away","W",1,0,"Brighton",1.1,0.8,50,"","Pierre-Emerick Aubameyang","4-2-3-1","3-5-2","Martin Atkinson","Match Report",NA
"2021-01-02","20:00","Matchweek 17","Sat","Away","W",4,0,"West Brom",3.7,1,61,"","Pierre-Emerick Aubameyang","4-2-3-1","4-4-1-1","Martin Atkinson","Match Report",NA
"2021-01-14","20:00","Matchweek 18","Thu","Home","D",0,0,"Crystal Palace",0.4,0.8,67,"","Pierre-Emerick Aubameyang","4-2-3-1","4-4-2","Andre Marriner","Match Report",NA
"2021-01-18","20:00","Matchweek 19","Mon","Home","W",3,0,"Newcastle Utd",2.4,0.2,66,"","Pierre-Emerick Aubameyang","4-2-3-1","4-4-2","David Coote","Match Report",NA
"2021-01-26","20:15","Matchweek 20","Tue","Away","W",3,1,"Southampton",2.2,0.8,42,"","Héctor Bellerín","4-2-3-1","4-4-2","Kevin Friend","Match Report",NA
"2021-01-30","17:30","Matchweek 21","Sat","Home","D",0,0,"Manchester Utd",0.9,1.6,43,"","Héctor Bellerín","4-2-3-1","4-2-3-1","Michael Oliver","Match Report",NA
"2021-02-02","18:00","Matchweek 22","Tue","Away","L",1,2,"Wolves",0.8,1.5,45,"","Héctor Bellerín","4-2-3-1","4-2-3-1","Craig Pawson","Match Report",NA
"2021-02-06","12:30","Matchweek 23","Sat","Away","L",0,1,"Aston Villa",0.8,1.2,65,"","Héctor Bellerín","4-2-3-1","4-2-3-1","Chris Kavanagh","Match Report",NA
"2021-02-14","16:30","Matchweek 24","Sun","Home","W",4,2,"Leeds United",2.3,0.9,46,"","Pierre-Emerick Aubameyang","4-2-3-1","4-1-4-1","Stuart Attwell","Match Report",NA
"2021-02-21","16:30","Matchweek 25","Sun","Home","L",0,1,"Manchester City",0.3,1.8,45,"","Pierre-Emerick Aubameyang","4-2-3-1","4-3-3","Jonathan Moss","Match Report",NA
"2021-02-28","12:00","Matchweek 26","Sun","Away","W",3,1,"Leicester City",2.3,0.4,56,"","Alexandre Lacazette","4-2-3-1","4-4-2","Paul Tierney","Match Report",NA
"2021-03-06","12:30","Matchweek 27","Sat","Away","D",1,1,"Burnley",2.5,1.1,59,"","Pierre-Emerick Aubameyang","4-2-3-1","4-4-2","Andre Marriner","Match Report",NA
"2021-03-14","16:30","Matchweek 28","Sun","Home","W",2,1,"Tottenham",1.7,0.4,52,"","Alexandre Lacazette","4-2-3-1","4-2-3-1","Michael Oliver","Match Report",NA
"2021-03-21","15:00","Matchweek 29","Sun","Away","D",3,3,"West Ham",1.4,2.4,62,"","Pierre-Emerick Aubameyang","4-2-3-1","4-2-3-1","Jonathan Moss","Match Report",NA
"2021-04-03","20:00","Matchweek 30","Sat","Home","L",0,3,"Liverpool",0.1,2.4,36,"","Pierre-Emerick Aubameyang","4-2-3-1","4-3-3","Stuart Attwell","Match Report",NA
"2021-04-11","19:00","Matchweek 31","Sun","Away","W",3,0,"Sheffield Utd",1.7,0.3,55,"","Alexandre Lacazette","4-2-3-1","3-5-2","Peter Bankes","Match Report",NA
"2021-04-18","13:30","Matchweek 32","Sun","Home","D",1,1,"Fulham",2.7,0.9,69,"","Héctor Bellerín","4-2-3-1","4-4-2","Craig Pawson","Match Report",NA
"2021-04-23","20:00","Matchweek 33","Fri","Home","L",0,1,"Everton",0.8,0.5,59,"","Rob Holding","4-2-3-1","4-2-3-1","Jonathan Moss","Match Report",NA
"2021-05-02","14:00","Matchweek 34","Sun","Away","W",2,0,"Newcastle Utd",2,0.3,61,"","Pierre-Emerick Aubameyang","4-2-3-1","5-3-2","Mike Dean","Match Report",NA
"2021-05-09","19:00","Matchweek 35","Sun","Home","W",3,1,"West Brom",0.9,1.8,65,"","Rob Holding","4-2-3-1","4-4-1-1","Peter Bankes","Match Report",NA
"2021-05-12","20:15","Matchweek 36","Wed","Away","W",1,0,"Chelsea",0.6,1.8,33,"","Pierre-Emerick Aubameyang","3-4-3","3-4-3","Andre Marriner","Match Report",NA
"2021-05-19","19:00","Matchweek 37","Wed","Away","W",3,1,"Crystal Palace",1.8,1,68,"6,500","Pierre-Emerick Aubameyang","4-2-3-1","4-3-3","Anthony Taylor","Match Report",NA
"2021-05-23","16:00","Matchweek 38","Sun","Home","W",2,0,"Brighton",0.8,0.2,54,"10,000","Pierre-Emerick Aubameyang","4-2-3-1","4-3-3","Jonathan Moss","Match Report",NA
