,Player,Age,Nat.,Left,Fee,,,,,,
,"Yaya Sanogo                            
        Centre-Forward",,Yaya Sanogo,Centre-Forward,23,NA,"Ajax        
    
            Eredivisie",NA,Ajax,Eredivisie,"End of loanJan 31, 2016"
,Yaya Sanogo,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ajax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Eredivisie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Ryo Miyaichi                            
        Right Winger",,Ryo Miyaichi,Right Winger,22,NA,"Twente FC        
    
            Eredivisie",NA,Twente FC,Eredivisie,"End of loanJun 30, 2015"
,Ryo Miyaichi,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Twente FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Eredivisie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Chuba Akpom                            
        Centre-Forward",,Chuba Akpom,Centre-Forward,20,NA,"Hull City        
    
            Championship",NA,Hull City,Championship,"End of loanMay 31, 2016"
,Chuba Akpom,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hull City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Championship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
