,Player,Age,Nat.,Left,Fee,,,,,,
Sum: €167.40m,Sum: €167.40m,Sum: €167.40m,Sum: €167.40m,Sum: €167.40m,Sum: €167.40m,NA,NA,NA,NA,NA,NA
Average age: 22.7,Average age: 22.7,Average age: 22.7,Average age: 22.7,Average age: 22.7,Average age: 22.7,NA,NA,NA,NA,NA,NA
Total market value of arrivals: €185.85m,Total market value of arrivals: €185.85m,Total market value of arrivals: €185.85m,Total market value of arrivals: €185.85m,Total market value of arrivals: €185.85m,Total market value of arrivals: €185.85m,NA,NA,NA,NA,NA,NA
,"Ben White                            
        Right-Back",,Ben White,Right-Back,23,NA,"Brighton        
    
            Premier League",NA,Brighton,Premier League,€58.50m
,Ben White,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Brighton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Martin Ødegaard                            
        Attacking Midfield",,Martin Ødegaard,Attacking Midfield,22,NA,"Real Madrid        
    
            LaLiga",NA,Real Madrid,LaLiga,€35.00m
,Martin Ødegaard,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Attacking Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Real Madrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Aaron Ramsdale                            
        Goalkeeper",,Aaron Ramsdale,Goalkeeper,23,NA,"Sheff Utd        
    
            Championship",NA,Sheff Utd,Championship,€28.00m
,Aaron Ramsdale,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Sheff Utd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Championship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Takehiro Tomiyasu                            
        Right-Back",,Takehiro Tomiyasu,Right-Back,22,NA,"Bologna        
    
            Serie A",NA,Bologna,Serie A,€18.60m
,Takehiro Tomiyasu,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bologna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Serie A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Albert Sambi Lokonga                            
        Central Midfield",,Albert Sambi Lokonga,Central Midfield,21,NA,"RSC Anderlecht        
    
            Jupiler Pro League",NA,RSC Anderlecht,Jupiler Pro League,€17.50m
,Albert Sambi Lokonga,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Central Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,RSC Anderlecht,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Jupiler Pro League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Nuno Tavares                            
        Left-Back",,Nuno Tavares,Left-Back,21,NA,"Benfica        
    
            Liga Portugal",NA,Benfica,Liga Portugal,€8.00m
,Nuno Tavares,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Left-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Benfica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Liga Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Auston Trusty                            
        Centre-Back",,Auston Trusty,Centre-Back,23,NA,"Colorado        
    
            MLS",NA,Colorado,MLS,€1.80m
,Auston Trusty,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,MLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Arthur Okonkwo                            
        Goalkeeper",,Arthur Okonkwo,Goalkeeper,19,NA,"Arsenal U21        
    
            Premier League 2",NA,Arsenal U21,Premier League 2,-
,Arthur Okonkwo,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Arsenal U21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Lucas Torreira                            
        Defensive Midfield",,Lucas Torreira,Defensive Midfield,25,NA,"Atlético Madrid        
    
            LaLiga",NA,Atlético Madrid,LaLiga,"End of loanJun 30, 2021"
,Lucas Torreira,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Defensive Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Atlético Madrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Mattéo Guendouzi                            
        Central Midfield",,Mattéo Guendouzi,Central Midfield,22,NA,"Hertha BSC        
    
            Bundesliga",NA,Hertha BSC,Bundesliga,"End of loanJun 30, 2021"
,Mattéo Guendouzi,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Central Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hertha BSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bundesliga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"William Saliba                            
        Centre-Back",,William Saliba,Centre-Back,20,NA,"OGC Nice        
    
            Ligue 1",NA,OGC Nice,Ligue 1,"End of loanJun 30, 2021"
,William Saliba,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,OGC Nice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ligue 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Sead Kolasinac                            
        Centre-Back",,Sead Kolasinac,Centre-Back,28,NA,"FC Schalke 04        
    
            2. Bundesliga",NA,FC Schalke 04,2. Bundesliga,"End of loanJun 30, 2021"
,Sead Kolasinac,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,FC Schalke 04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2. Bundesliga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Dejan Iliev                            
        Goalkeeper",,Dejan Iliev,Goalkeeper,26,NA,"SKF Sered        
    
            Nike Liga",NA,SKF Sered,Nike Liga,"End of loanDec 31, 2021"
,Dejan Iliev,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,SKF Sered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Nike Liga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
