"Season","Age","Squad","Country","Comp","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","Matches"
"2019-2020","21","Leeds United","eng ENG","2. Championship","46","4,140","1","2","3","255","0","0","","","","","49","4,395","1","2","Matches"
"2020-2021","22","Brighton","eng ENG","1. Premier League","36","3,191","0","0","3","267","0","0","","","","","39","3,458","0","0","Matches"
"2021-2022","23","Arsenal","eng ENG","1. Premier League","32","2,880","0","0","5","396","0","0","","","","","37","3,276","0","0","Matches"
"2022-2023","24","Arsenal","eng ENG","1. Premier League","38","3,055","2","5","1","10","0","0","7","396","0","0","46","3,461","2","5","Matches"
"2023-2024","25","Arsenal","eng ENG","1. Premier League","37","2,988","4","4","4","338","0","0","10","754","0","1","51","4,080","4","5","Matches"
"9 Seasons*","9 Seasons*","5 Clubs","","","255","21,960","9","18","26","2,152","0","0","20","1,375","0","1","301","25,487","9","19",""
