Player,Position,Fee
Ben White,Right-Back,€58.50m
Martin Ødegaard,Attacking Midfield,€35.00m
Aaron Ramsdale,Goalkeeper,€28.00m
Takehiro Tomiyasu,Right-Back,€18.60m
Albert Sambi Lokonga,Central Midfield,€17.50m
Nuno Tavares,Left-Back,€8.00m
Auston Trusty,Centre-Back,€1.80m
Arthur Okonkwo,Goalkeeper,-
Lucas Torreira,Defensive Midfield,"End of loanJun 30, 2021"
Mattéo Guendouzi,Central Midfield,"End of loanJun 30, 2021"
William Saliba,Centre-Back,"End of loanJun 30, 2021"
Sead Kolasinac,Centre-Back,"End of loanJun 30, 2021"
Dejan Iliev,Goalkeeper,"End of loanDec 31, 2021"
