"Season","Age","Squad","Country","Comp","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","Matches"
"2016-2017","20","Sampdoria","it ITA","1. Serie A","35","3,044","0","1","1","73","0","0","","","","","36","3,117","0","1","Matches"
"2017-2018","21","Sampdoria","it ITA","1. Serie A","36","3,180","4","1","2","135","0","0","","","","","38","3,315","4","1","Matches"
"2018-2019","22","Arsenal","eng ENG","1. Premier League","34","2,382","2","2","4","227","0","1","12","621","0","1","50","3,230","2","4","Matches"
"2019-2020","23","Arsenal","eng ENG","1. Premier League","29","1,512","1","1","4","189","1","0","6","347","0","0","39","2,048","2","1","Matches"
"2020-2021","24","Atlético Madrid","es ESP","1. La Liga","19","518","1","0","2","180","0","1","5","44","0","0","26","742","1","1","Matches"
"11 Seasons*","11 Seasons*","6 Clubs","","","293","21,435","17","13","19","1,306","2","2","37","2,203","0","1","349","24,944","19","16",""
