Player,Position,Fee
Lucas Torreira,Defensive Midfield,€28.65m
Bernd Leno,Goalkeeper,€25.00m
Sokratis Papastathopoulos,Centre-Back,€16.00m
Mattéo Guendouzi,Central Midfield,€8.00m
Denis Suárez,Attacking Midfield,Loan fee:€2.50m
Stephan Lichtsteiner,Right-Back,free transfer
Dejan Iliev,Goalkeeper,-
Eddie Nketiah,Centre-Forward,-
Calum Chambers,Centre-Back,"End of loanMay 31, 2019"
Lucas Pérez,Centre-Forward,"End of loanJun 30, 2018"
Joel Campbell,Right Winger,"End of loanJun 30, 2018"
Takuma Asano,Right Winger,"End of loanJun 30, 2018"
Krystian Bielik,Centre-Back,"End of loanMay 31, 2019"
Chuba Akpom,Centre-Forward,"End of loanJun 30, 2018"
Emiliano Martínez,Goalkeeper,"End of loanMay 31, 2019"
Emiliano Martínez,Goalkeeper,"End of loanJun 30, 2018"
Matt Macey,Goalkeeper,"End of loanMay 31, 2019"
