"Season","Age","Squad","Country","Comp","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","MP","Min","Gls","Ast","Matches"
"2012-2013","23","Barcelona","es ESP","1. La Liga","29","1,706","8","9","","","","","9","521","1","2","38","2,227","9","11","Matches"
"2013-2014","24","Barcelona","es ESP","1. La Liga","34","2,369","19","10","","","","","9","467","0","2","43","2,836","19","12","Matches"
"2014-2015","25","Arsenal","eng ENG","1. Premier League","35","2,942","16","8","7","563","5","2","7","602","3","1","49","4,107","24","11","Matches"
"2015-2016","26","Arsenal","eng ENG","1. Premier League","30","2,436","13","4","4","215","1","1","7","622","3","5","41","3,273","17","10","Matches"
"2016-2017","27","Arsenal","eng ENG","1. Premier League","38","3,217","24","10","5","342","3","2","8","665","3","3","51","4,224","30","15","Matches"
"17 Seasons*","17 Seasons*","6 Clubs","","","477","30,645","154","87","45","2,911","16","10","92","5,594","18","16","614","39,150","188","113",""
