,Player,Age,Nat.,Left,Fee,,,,,,
Sum: €118.98m,Sum: €118.98m,Sum: €118.98m,Sum: €118.98m,Sum: €118.98m,Sum: €118.98m,NA,NA,NA,NA,NA,NA
Average age: 22.3,Average age: 22.3,Average age: 22.3,Average age: 22.3,Average age: 22.3,Average age: 22.3,NA,NA,NA,NA,NA,NA
Total market value of arrivals: €91.00m,Total market value of arrivals: €91.00m,Total market value of arrivals: €91.00m,Total market value of arrivals: €91.00m,Total market value of arrivals: €91.00m,Total market value of arrivals: €91.00m,NA,NA,NA,NA,NA,NA
,"Alexis Sánchez                            
        Centre-Forward",,Alexis Sánchez,Centre-Forward,25,NA,"Barcelona        
    
            LaLiga",NA,Barcelona,LaLiga,€42.50m
,Alexis Sánchez,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Barcelona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Calum Chambers                            
        Centre-Back",,Calum Chambers,Centre-Back,19,NA,"Southampton        
    
            Premier League",NA,Southampton,Premier League,€20.23m
,Calum Chambers,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Southampton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Danny Welbeck                            
        Centre-Forward",,Danny Welbeck,Centre-Forward,23,NA,"Man Utd        
    
            Premier League",NA,Man Utd,Premier League,€20.00m
,Danny Welbeck,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Man Utd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Mathieu Debuchy                            
        Right-Back",,Mathieu Debuchy,Right-Back,28,NA,"Newcastle        
    
            Premier League",NA,Newcastle,Premier League,€15.00m
,Mathieu Debuchy,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Newcastle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Gabriel Paulista                            
        Centre-Back",,Gabriel Paulista,Centre-Back,24,NA,"Villarreal        
    
            LaLiga",NA,Villarreal,LaLiga,€15.00m
,Gabriel Paulista,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Villarreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"David Ospina                            
        Goalkeeper",,David Ospina,Goalkeeper,25,NA,"OGC Nice        
    
            Ligue 1",NA,OGC Nice,Ligue 1,€4.00m
,David Ospina,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,OGC Nice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ligue 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Krystian Bielik                            
        Centre-Back",,Krystian Bielik,Centre-Back,17,NA,"Legia Warszawa        
    
            Ekstraklasa",NA,Legia Warszawa,Ekstraklasa,€2.25m
,Krystian Bielik,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Legia Warszawa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ekstraklasa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Héctor Bellerín                            
        Right-Back",,Héctor Bellerín,Right-Back,19,NA,"Arsenal U21        
    
            Premier League 2",NA,Arsenal U21,Premier League 2,-
,Héctor Bellerín,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Arsenal U21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Joel Campbell                            
        Right Winger",,Joel Campbell,Right Winger,22,NA,"Olympiacos        
    
            Super League 1",NA,Olympiacos,Super League 1,"End of loanJun 30, 2014"
,Joel Campbell,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Olympiacos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
