,Player,Age,Nat.,Left,Fee,,,,,,
,Super League 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Johan Djourou                            
        Centre-Back",,Johan Djourou,Centre-Back,27,NA,"Hamburger SV        
    
            Bundesliga",NA,Hamburger SV,Bundesliga,"End of loanJun 30, 2014"
,Johan Djourou,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hamburger SV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bundesliga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Francis Coquelin                            
        Defensive Midfield",,Francis Coquelin,Defensive Midfield,23,NA,"Charlton        
    
            Championship",NA,Charlton,Championship,"End of loanDec 12, 2014"
,Francis Coquelin,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Defensive Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Charlton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Championship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Francis Coquelin                            
        Defensive Midfield",,Francis Coquelin,Defensive Midfield,23,NA,"SC Freiburg        
    
            Bundesliga",NA,SC Freiburg,Bundesliga,"End of loanJun 30, 2014"
,Francis Coquelin,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Defensive Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,SC Freiburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bundesliga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Yaya Sanogo                            
        Centre-Forward",,Yaya Sanogo,Centre-Forward,22,NA,"Crystal Palace        
    
            Premier League",NA,Crystal Palace,Premier League,"End of loanMay 31, 2015"
,Yaya Sanogo,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Crystal Palace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Wellington Silva                            
        Right Winger",,Wellington Silva,Right Winger,22,NA,"UD Almería        
    
            LaLiga",NA,UD Almería,LaLiga,"End of loanMay 31, 2015"
,Wellington Silva,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,UD Almería,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Emiliano Martínez                            
        Goalkeeper",,Emiliano Martínez,Goalkeeper,22,NA,"Rotherham        
    
            Championship",NA,Rotherham,Championship,"End of loanMay 4, 2015"
,Emiliano Martínez,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Rotherham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Championship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Wellington Silva                            
        Right Winger",,Wellington Silva,Right Winger,21,NA,"Real Murcia        
    
            2ª B - Grupo I",NA,Real Murcia,2ª B - Grupo I,"End of loanJun 30, 2014"
,Wellington Silva,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Real Murcia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2ª B - Grupo I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Kristoffer Olsson                            
        Central Midfield",,Kristoffer Olsson,Central Midfield,19,NA,"FC Midtjylland        
    
            Superliga",NA,FC Midtjylland,Superliga,"End of loanJan 3, 2015"
,Kristoffer Olsson,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Central Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,FC Midtjylland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Superliga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Semi Ajayi                            
        Centre-Back",,Semi Ajayi,Centre-Back,21,NA,"Cardiff        
    
            Championship",NA,Cardiff,Championship,"End of loanMay 31, 2015"
,Semi Ajayi,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Cardiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Championship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
